name,version,variant,arch,os,filename,date,size,checksum,integrity
nginx,1.18.0,,aarch64,linux,nginx-1.18.0-aarch64-linux,2022-05-15T02:33:46Z,4000456,sha1:d627a221fc5cbe87ad577349be6e9629ba870a15,sha1-d627a221fc5cbe87ad577349be6e9629ba870a15
nginx,1.18.0,,armv7l,linux,nginx-1.18.0-armv7l-linux,2022-05-15T02:33:46Z,2827792,sha1:f7c5473b7e8cdb544315d36965619cb1fab97d45,sha1-f7c5473b7e8cdb544315d36965619cb1fab97d45
nginx,1.18.0,,ppc64le,linux,nginx-1.18.0-ppc64le-linux,2022-05-15T02:33:47Z,4599312,sha1:e994135af2868797ff2ca950d102dd49ed79db43,sha1-e994135af2868797ff2ca950d102dd49ed79db43
nginx,1.18.0,,x86_64,darwin,nginx-1.18.0-x86_64-darwin,2022-05-15T02:33:47Z,4266624,sha1:1fda9e37856896283f6281922a91d729015ddf3c,sha1-1fda9e37856896283f6281922a91d729015ddf3c
nginx,1.18.0,,x86_64,linux,nginx-1.18.0-x86_64-linux,2022-05-15T02:33:47Z,4287688,sha1:319624c5600f37bc7cf18f94abab0ff223ca6364,sha1-319624c5600f37bc7cf18f94abab0ff223ca6364
nginx,1.18.0,,x86_64,win32,nginx-1.18.0-x86_64-win32.exe,2022-05-08T02:26:02Z,3051008,sha1:40c4be6b915892e8fa8300dc07cb3348fd878e3d,sha1-40c4be6b915892e8fa8300dc07cb3348fd878e3d
nginx,1.19.10,,aarch64,linux,nginx-1.19.10-aarch64-linux,2021-05-05T17:25:36Z,4762128,sha1:814a4cdf8a0e33a9def40a6ea4b23c11028817a0,sha1-814a4cdf8a0e33a9def40a6ea4b23c11028817a0
nginx,1.19.10,,armv7l,linux,nginx-1.19.10-armv7l-linux,2021-05-05T17:25:36Z,3215888,sha1:a2cfa558dfcbebe583416c82b4c0a910fa1849d6,sha1-a2cfa558dfcbebe583416c82b4c0a910fa1849d6
nginx,1.19.10,,ppc64le,linux,nginx-1.19.10-ppc64le-linux,2021-05-05T17:25:36Z,5328072,sha1:ea66c3f0b70031cf328cdc06d0997895d43d9f6e,sha1-ea66c3f0b70031cf328cdc06d0997895d43d9f6e
nginx,1.19.10,,x86_64,darwin,nginx-1.19.10-x86_64-darwin,2021-05-05T17:25:37Z,4216728,sha1:ac45ca5d3e32acbd38431b4ba36a5c97e4eab224,sha1-ac45ca5d3e32acbd38431b4ba36a5c97e4eab224
